kepid,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_srad,disposition,koi_score
1000000,0.49959946407365535,0.01571613816418402,1284.7301419392268,21.754277151823064,1986.6364055798506,6065.670543297792,20.300197372695145,3109.695632530562,0.9194331036367691,FALSE POSITIVE,0.5119245132961484
1000000,0.9657629353150892,0.04589977839225571,1652.5085273788045,3.3490610208650615,295.44384867278467,4721396.716721929,102.59203507208173,6616.833775529954,1.0575182092333224,CONFIRMED,0.9858009890746078
1000000,2.92695460132518,0.10469537988819244,554.8633358466222,14.603871574231855,896.3827950255245,92005.36342445412,13.697868045530539,6268.839675968897,1.8304878813247654,CANDIDATE,0.5629490422124532
1000001,21.786465357956985,3.048765030255441,933.4474561331107,18.21801532872225,1953.0877341226071,4535.620633667851,48.641848908520316,6068.103205128646,0.729864302085544,FALSE POSITIVE,0.4721451009938148
1000001,901.5481651689231,112.39841837893981,514.974940134794,5.019142051394108,627.286995807028,61822.09837001727,28.36907116890364,4376.505966760402,1.7807484232732909,FALSE POSITIVE,0.5797848546739564
1000001,0.350207325943072,0.049009367846403556,846.0933521578523,23.328405484153162,,10848.733578641199,20.615105093548998,3422.188180143803,0.9083828562826146,FALSE POSITIVE,0.28034748134234727
1000002,44.11307887482943,3.8528961297427577,737.826621535581,,1612.6283619337262,3912.051923745126,8.843136357322475,5860.647891435795,0.44427235631826995,FALSE POSITIVE,0.5973204060131198
1000002,1.056723593193119,0.09049621145508431,1683.0714132566104,,1968.1184021337797,467.1424902880067,26.78739665446132,4515.006874182985,1.0614161455585505,CANDIDATE,0.7110945799760076
1000002,1.4075707078751432,0.035456606522223474,1269.1103384741966,10.600644176395317,1232.8805825102145,27885.638083198868,16.808376942018587,4920.875890364254,0.5737549905766517,FALSE POSITIVE,0.3941348088545888
1000003,8.805570188435114,1.282228903282027,765.2567252602233,15.401940110827416,2431.1712503334256,2760.37115943036,16.964626821107526,7098.538112096341,1.2720611499028747,CANDIDATE,0.8359460173680271
1000003,0.1649179052056814,0.02312205644772694,1141.5093093552337,8.019186331193545,329.31587815723617,4607109.8001459045,17.686326001876324,2660.921340514573,1.0633535757687178,FALSE POSITIVE,0.17793787067283393
1000003,11.23522503637637,0.9765262704623386,1095.4989182868999,8.608662910642643,429.03334114206655,55963.46876567643,130.76629405461009,5395.657207013108,1.1252352388543012,CONFIRMED,0.9698067823946223
1000004,5.4216892545494915,0.6485703236616375,1172.5472433449684,11.759914091227492,1134.7580341202429,59150.576901212684,18.828072566278742,5694.842340270138,1.2522852370219484,CANDIDATE,0.6878557104538916
1000004,2.8821475012366293,0.3425490200281944,478.3437324356799,22.72977979314987,1755.7162484930138,3538.492424748205,14.080772671360561,6072.006278300473,0.8094352225011053,FALSE POSITIVE,0.3057993528302411
1000004,0.675780183793369,0.10001890157497655,502.7319761098152,3.784162519324205,680.9239385561127,68033.83681939625,26.08506475660106,5613.140457053023,1.2093684817236052,FALSE POSITIVE,0.5013970586943419
1000005,0.40803621379225763,0.05147996301909131,51.0935523398139,11.201056190692702,2236.0494210274,390.6493605629713,6.549408885799155,6359.5848723435565,1.0242293183200717,FALSE POSITIVE,0.5336966271298531
1000005,0.18318827124946613,0.02035315015919489,1408.5081353365892,8.371095799337139,1960.2274889083885,7016.516208757062,17.400504933913034,6920.504287271063,1.1955989453188207,FALSE POSITIVE,0.42074944013860155
1000005,0.5067236399176337,0.0748851874833256,593.0902489911063,7.681811566415356,1678.388051003834,10084.165497993821,17.724445567704436,5437.360422672765,1.0756628084209185,FALSE POSITIVE,0.015021769937885864
